modern_name,ayurvedic_names/0,ayurvedic_names/1,ayurvedic_names/2,doshic_imbalance/primary,doshic_imbalance/secondary/0,doshic_imbalance/secondary/1,description,formulations/0/name,formulations/0/common_name,formulations/0/rasa_guna_virya_vipaka/rasa/0,formulations/0/rasa_guna_virya_vipaka/guna/0,formulations/0/rasa_guna_virya_vipaka/guna/1,formulations/0/rasa_guna_virya_vipaka/virya,formulations/0/rasa_guna_virya_vipaka/vipaka,formulations/0/contraindications/0,formulations/0/contraindications/1,formulations/0/benefits/0,formulations/1/name,formulations/1/common_name,formulations/1/rasa_guna_virya_vipaka/rasa/0,formulations/1/rasa_guna_virya_vipaka/rasa/1,formulations/1/rasa_guna_virya_vipaka/guna/0,formulations/1/rasa_guna_virya_vipaka/guna/1,formulations/1/rasa_guna_virya_vipaka/virya,formulations/1/rasa_guna_virya_vipaka/vipaka,formulations/1/contraindications/0,formulations/1/contraindications/1,formulations/1/benefits/0,formulations/2/name,formulations/2/common_name,formulations/2/rasa_guna_virya_vipaka/rasa/0,formulations/2/rasa_guna_virya_vipaka/guna/0,formulations/2/rasa_guna_virya_vipaka/guna/1,formulations/2/rasa_guna_virya_vipaka/virya,formulations/2/rasa_guna_virya_vipaka/vipaka,formulations/2/contraindications/0,formulations/2/contraindications/1,formulations/2/benefits/0,warning,formulations/0/rasa_guna_virya_vipaka/rasa/1,formulations/2/rasa_guna_virya_vipaka/rasa/1,formulations/2/contraindications/2,formulations/0/rasa/0,formulations/0/guna/0,formulations/0/guna/1,formulations/0/virya,formulations/0/vipaka,formulations/1/rasa/0,formulations/1/rasa/1,formulations/1/guna/0,formulations/1/guna/1,formulations/1/virya,formulations/1/vipaka,formulations/2/rasa/0,formulations/2/rasa/1,formulations/2/guna/0,formulations/2/guna/1,formulations/2/virya,formulations/2/vipaka,references/0,references/1,references/2,references/3,formulations/0/rasa/1,formulations/0/rasa_guna_virya_vipaka/rasa/2,doshic_imbalance/secondary/2,formulations/2/rasa_guna_virya_vipaka/rasa/2,formulations/1/rasa_guna_virya_vipaka/rasa/2,formulations/0/scientific_name,formulations/1/scientific_name,formulations/2/scientific_name
Fungal Infection,Khadira,Dadru,Kushtha,Kapha,Pitta,Vata,"Fungal infections occur due to the overgrowth of fungi on the skin or within the body, leading to skin rashes, itching, redness, and sometimes other systemic symptoms.",Neem,Neem Oil,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnancy,Individuals with hypoglycemia,"Neem (Azadirachta indica) is known for its potent anti-fungal properties. It is mentioned in ancient texts for its 'krimighna' property, meaning it has qualities to combat various microbes, including fungi.",Haridra,Turmeric Powder,Tikta,Katu,Laghu,Ruksha,Ushna,Katu,Pregnancy,Individuals with gallbladder issues or bile duct obstruction,"Haridra (Curcuma longa, turmeric) possesses 'kandughna' properties as per Bhaishajya Ratnavali, indicating its potential in relieving itching and other symptoms associated with fungal infections.",Guduchi,Guduchi Powder,Tikta,Laghu,Snigdha,Sheeta,Katu,Pregnancy,Individuals with autoimmune disorders,"Guduchi (Tinospora cordifolia) is renowned in Sushruta Samhita for its 'krimighna' properties, suggesting its ability to fight against fungal infections and other microbial infestations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,Aushadha Pratikriya,,,Pitta,Vata,Kapha,"Drug reactions occur when the body responds adversely to a medication or substance, leading to various symptoms such as rash, itching, swelling, fever, or in severe cases, anaphylaxis.",Haridra,Turmeric Powder,Tikta,Laghu,Ruksha,Ushna,Katu,Individuals with gallbladder issues or bile duct obstruction,,"Haridra (Curcuma longa, turmeric) is known for its 'kaphaghna' (reducing Kapha dosha) and 'shothahara' (anti-inflammatory) properties, which may help alleviate drug-induced inflammations and allergic reactions.",Guduchi,Guduchi Powder,Tikta,,Laghu,Snigdha,Sheeta,Katu,Pregnancy,Individuals with autoimmune disorders,"Guduchi (Tinospora cordifolia) is described in Ashtanga Hridaya for its 'amrita' properties, indicating rejuvenating and immune-modulating effects. It is suggested to have a detoxifying impact, potentially aiding in managing various drug-induced toxicities and reactions.",Yashtimadhu,Licorice Powder,Madhura,Guru,Snigdha,Sheeta,Madhura,"Individuals with hypertension, kidney disorders, or excessive potassium levels",,"Yashtimadhu (Glycyrrhiza glabra, licorice) is referred to as 'madyasava' in Charaka Samhita, indicating its soothing properties on the stomach lining. It is believed to assist in balancing adverse drug reactions that affect the gastrointestinal system.",,Katu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impetigo,Pama,,,Kapha,Pitta,,"Impetigo is a highly contagious bacterial skin infection characterized by red sores that quickly rupture, ooze, and then form a yellow-brown crust. It commonly affects children and infants.",Neem,Neem Leaves,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,Individuals with hypoglycemia,"Neem (Azadirachta indica) is recognized in ancient Ayurvedic texts for its 'krimighna' (anti-microbial) properties, which may aid in controlling bacterial infections associated with impetigo.",Haridra,Turmeric,Tikta,Katu,Laghu,Ruksha,Ushna,Katu,Individuals with gallbladder problems or obstructive jaundice,,"Haridra (Curcuma longa, turmeric) is known for its 'rukshana' (drying), 'kandughna' (anti-pruritic), and 'krimighna' (anti-microbial) properties, which could assist in soothing the skin and combating microbial growth in impetigo.",Manjistha,Manjistha Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Individuals prone to kidney stones,,"Manjistha (Rubia cordifolia) is mentioned in Charaka Samhita for its 'vrana shodhana' (wound-healing) and 'kandughna' (anti-pruritic) properties, potentially aiding in the healing process and relieving itching associated with impetigo.",,Katu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dengue,Dandaka Jwara,Visarpa,,Pitta,Vata,Kapha,"Dengue is a mosquito-borne viral infection that causes flu-like symptoms, including high fever, severe joint pain, muscle pain, headache, and rash. It is transmitted by the Aedes mosquitoes.",Papaya Leaf Extract,Papaya Leaf Juice,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,,Papaya Leaf Extract is widely recognized in traditional and folk medicine for its ability to increase platelet count and reduce symptoms associated with dengue.,Giloy,Giloy Stem Powder,Tikta,,Laghu,Snigdha,Sheeta,Madhura,Individuals with excessively low blood sugar,,"Giloy, known as 'Amrita' in Ayurveda, possesses 'jwara-hara' properties, which aid in reducing fever, boosting immunity, and combating infections, as mentioned in various sections of Charaka Samhita.",Tulsi,Tulsi Leaves,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,,"Tulsi, revered for its 'jwaraghna' (fever-reducing) and 'vishaghna' (antidote) properties in Bhavaprakasha, is considered beneficial in alleviating symptoms associated with dengue and aiding recovery.",,,Katu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Cholestasis,Pittashaya,,,Pitta,Kapha,Vata,"Chronic Cholestasis is a condition where bile flow from the liver is impaired, leading to the accumulation of bile in the liver. This can cause symptoms such as jaundice, itching, fatigue, and abdominal pain.",Kutki,Kutki Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnancy,Individuals with hypoglycemia,"Kutki (Picrorhiza kurroa) is described in Charaka Samhita for its 'yakritottejaka' (liver-stimulating) properties. It enhances liver function and promotes bile secretion, aiding in the management of chronic cholestasis.",Punarnava,Punarnava Powder,Katu,Tikta,Guru,Snigdha,Sheeta,Katu,Pregnancy,Individuals with renal disorders,"Punarnava (Boerhavia diffusa) is mentioned in Bhavaprakasha as 'yakritprashamana,' meaning it helps pacify liver disorders. Its anti-inflammatory and diuretic actions may ease symptoms of cholestasis.",Bhumyamalaki,Bhumyamalaki Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnancy,Individuals with hypoglycemia,"Bhumyamalaki (Phyllanthus niruri), as referenced in Kashyapa Samhita, has 'yakritprabhava' (liver-protective) qualities. It supports liver health and aids in reducing the effects of chronic cholestasis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C,Yakrit Pliha Vikara,,,Pitta,Kapha,Vata,"Hepatitis C is a viral liver infection caused by the Hepatitis C virus. It can lead to both acute and chronic liver disease, causing symptoms such as fatigue, abdominal pain, jaundice, and in chronic cases, liver cirrhosis or cancer.",Bhumyamalaki,Bhumyamalaki Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Individuals with hypoglycemia,,"Bhumyamalaki (Phyllanthus niruri) is referenced in Charaka Samhita for its 'yakritpleehahara' properties, indicating its effectiveness in liver and spleen disorders. It is considered hepatoprotective and antiviral, supporting liver function in Hepatitis C.",Kutki,Kutki Powder,Tikta,,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,,Kutki (Picrorhiza kurroa) is mentioned in Bhavaprakasha as 'ropani' for liver conditions. Its bitter taste and cooling properties help stimulate liver activity and may provide protection against viral infections like Hepatitis C.,Arogyavardhini Vati,Arogyavardhini Tablets,Tikta,Laghu,Snigdha,Sheeta,Katu,High blood pressure,Hyperacidity,Arogyavardhini Vati is a classical Ayurvedic formulation recommended in Charaka Samhita for its detoxifying actions and liver-supportive benefits. It may aid in managing liver inflammation and damage due to Hepatitis C.,,Kashaya,Katu,Gastritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,Ojakshaya,,,,,,"AIDS (Acquired Immunodeficiency Syndrome) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). HIV attacks the immune system, the body's defense against infections. Over time, HIV can weaken the immune system so much that the body becomes unable to fight off even common infections. This leaves people with AIDS vulnerable to potentially life-threatening infections and cancers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Please consult a healthcare professional for accurate diagnosis and personalized treatment plan. AIDS is a severe condition that requires careful evaluation and management. Any self-treatment or dietary modifications should be undertaken only under the guidance of a qualified Ayurvedic practitioner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaundice,Kamala,,,Pitta,Kapha,,"Jaundice is a condition characterized by yellowing of the skin and eyes due to an excess of bilirubin in the blood. It can be caused by various factors, including liver disorders, viral infections, or bile duct obstructions.",Kutki (Picrorhiza kurroa),Kutki Powder,,,,,,Pregnant or breastfeeding women,Individuals with hypoglycemia,,Bhumyamalaki (Phyllanthus niruri),Bhumyamalaki Powder,,,,,,,Individuals with excessively low blood sugar,,,Punarnava (Boerhavia diffusa),Punarnava Powder,,,,,,Individuals with kidney diseases,,,,,,,Tikta (Bitter),Laghu (Light),Ruksha (Dry),Sheeta (Cooling),Katu (Pungent),Tikta (Bitter),Kashaya (Astringent),Laghu (Light),Ruksha (Dry),Sheeta (Cooling),Katu (Pungent),Katu (Pungent),Tikta (Bitter),Guru (Heavy),Snigdha (Unctuous),Sheeta (Cooling),Katu (Pungent),Ashtanga Hridaya mentions the use of the following herbs for managing jaundice:,"Kutki (Picrorhiza kurroa) is described for its 'pittashamaka' property, known to pacify Pitta dosha and aid in treating liver disorders like jaundice.","Bhumyamalaki (Phyllanthus niruri) is known as 'yakritpleehahara' in Ashtanga Hridaya, indicating its hepatoprotective properties, beneficial for liver-related conditions such as jaundice.","Punarnava (Boerhavia diffusa) is described as 'yakritottejaka' in Ayurvedic texts, suggesting its role in enhancing liver functions and managing jaundice.",,,,,,,,
Gastroenteritis,Grahani,,,Vata,Pitta,Kapha,"Gastroenteritis is an inflammation of the stomach and intestines, usually caused by viral or bacterial infections. It leads to symptoms such as diarrhea, abdominal cramps, nausea, vomiting, and sometimes fever.",Bilva (Aegle marmelos),Bael Fruit Powder,,,,,,Individuals with constipation or excessive Kapha,,,Musta (Cyperus rotundus),Musta Powder,,,,,,,Individuals with excessive dryness or Vata imbalance,,,Kutaja (Holarrhena antidysenterica),Kutaja Powder,,,,,,Pregnant women and individuals with hypoglycemia,,,,,,,Tikta (Bitter),Guru (Heavy),Snigdha (Unctuous),Sheeta (Cooling),Madhura (Sweet),Tikta (Bitter),Katu (Pungent),Laghu (Light),Ruksha (Dry),Sheeta (Cooling),Katu (Pungent),Tikta (Bitter),Katu (Pungent),Laghu (Light),Ruksha (Dry),Sheeta (Cooling),Katu (Pungent),Ashtanga Hridaya mentions the use of the following herbs for managing gastroenteritis:,"Bilva (Aegle marmelos) is described for its 'ashmarihara' property, which means it has anti-diarrheal and digestive-stimulant effects, often used in cases of gastroenteritis to alleviate diarrhea and improve digestion.","Musta (Cyperus rotundus) is referred to as 'grahi' in Ashtanga Hridaya, indicating its ability to absorb excess moisture in the gastrointestinal tract, potentially beneficial in managing diarrhea and gastrointestinal infections.","Kutaja (Holarrhena antidysenterica) is known for its 'atisara-hara' properties, which means it has anti-dysenteric effects, beneficial in treating dysentery and gastrointestinal disturbances like gastroenteritis.",Madhura (Sweet),,,,,,,
Typhoid,Jwara,Visuchika,,Pitta,Vata,Kapha,"Typhoid is a bacterial infection caused by Salmonella typhi. It leads to symptoms such as prolonged fever, weakness, abdominal pain, headache, and loss of appetite.",Musta,Musta Powder,Tikta,Laghu,Ruksha,Sheeta,Katu,Individuals with gastric irritation or hyperacidity,,"Musta (Cyperus rotundus) is recommended in Ayurvedic texts for its 'jvaraghna' properties, known to aid in managing fever, including that of Typhoid.",Guduchi,Guduchi Tablets,Tikta,,Laghu,Snigdha,Sheeta,Madhura,Individuals with autoimmune diseases,,"Guduchi (Tinospora cordifolia) is regarded in Ashtanga Hridaya for its 'amrita' properties, suggesting its immune-modulating effects, potentially aiding in managing infections such as Typhoid.",Kutaja,Kutaja Churna,Tikta,Laghu,Ruksha,Sheeta,Katu,Pregnant or breastfeeding women,,"Kutaja (Holarrhena antidysenterica) is mentioned for its 'jvarahara' effects, indicating its potential in alleviating fever and gastrointestinal symptoms associated with Typhoid.",,Katu,Katu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
